type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename
TRACK, ,40.3543192919471,-94.8853616571602,4468789.57697674,339896.87701552,true,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543300219475,-94.8853831071671,4468790.80690774,339895.08077528,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543407519497,-94.8853777471668,4468791.98830896,339895.56135806,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543300219485,-94.8853670171627,4468790.77778261,339896.44720866,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543246619479,-94.8853616571607,4468790.17308356,339896.88972128,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543246619483,-94.8853562871592,4468790.16336320,339897.34576527,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543192919477,-94.8853509271573,4468789.55755414,339897.78825433,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543246619492,-94.8853401971549,4468790.13423848,339898.71219875,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543192919487,-94.8853348271529,4468789.52841141,339899.15553717,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543192919484,-94.8853401971544,4468789.53813166,339898.69949314,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543246619492,-94.8853401971549,4468790.13423848,339898.71219875,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543192919481,-94.8853455571558,4468789.54783384,339898.24429836,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543139319469,-94.8853509271567,4468788.96255739,339897.77557232,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543139319469,-94.8853509271567,4468788.96255739,339897.77557232,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543085619466,-94.8853401971533,4468788.34702808,339898.67410559,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543085619472,-94.8853294671504,4468788.32760571,339899.58534454,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543085619466,-94.8853401971533,4468788.34702808,339898.67410559,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543085619459,-94.8853509271561,4468788.36645056,339897.76286664,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543085619446,-94.885372377162,4468788.40527776,339895.94123797,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.354308561945,-94.8853670171605,4468788.39557545,339896.39643283,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543085619459,-94.8853509271561,4468788.36645056,339897.76286664,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543085619463,-94.8853455571547,4468788.35673026,339898.21891074,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543085619466,-94.8853401971533,4468788.34702808,339898.67410559,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543139319478,-94.8853348271523,4468788.93341465,339899.14285526,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543246619499,-94.885329467152,4468790.11481611,339899.62343748,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543300219505,-94.885334827154,4468790.71951499,339899.18092465,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543300219505,-94.885334827154,4468790.71951499,339899.18092465,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543246619492,-94.8853401971549,4468790.13423848,339898.71219875,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543246619492,-94.8853401971549,4468790.13423848,339898.71219875,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543300219505,-94.885334827154,4468790.71951499,339899.18092465,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543300219505,-94.885334827154,4468790.71951499,339899.18092465,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543300219511,-94.8853240971511,4468790.70009267,339900.09216331,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543246619509,-94.8853133771477,4468790.08569181,339900.98987096,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543300219511,-94.8853240971511,4468790.70009267,339900.09216331,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543300219511,-94.8853240971511,4468790.70009267,339900.09216331,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543300219505,-94.885334827154,4468790.71951499,339899.18092465,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543300219507,-94.8853294671525,4468790.70981286,339899.63611936,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543353919517,-94.8853294671531,4468791.30591969,339899.64882490,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.354335391952,-94.8853240971516,4468791.29619949,339900.10486882,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543568419555,-94.8853240971538,4468793.67729659,339900.15561986,False,False,0,0,0,0,2010/09/09-17:44:59, , 
TRACK, ,40.3543568419559,-94.8853187371523,4468793.66759452,339900.61081439,False,False,0,0,0,0,2010/09/09-17:44:59, , 
